und_umls_cuii,ind_umls_pt,ind_umls_sem_typ1
C0020655,Hypothalamic Diseases,Disease or Syndrome
C0025286,Meningioma,Neoplastic Process
C0030442,Bulbar Palsy; Progressive,Disease or Syndrome
C0008519,Ectopic Tissue,Pathologic Function
C0023488,Leukemia; Radiation-Induced,Neoplastic Process
C0029883,Otitis Media With Effusion,Disease or Syndrome
C0032966,Pregnancy Complications; Neoplastic,Neoplastic Process
C0033790,Pseudobulbar Palsy,Disease or Syndrome
C0035313,Retinal Dysplasia,Congenital Abnormality
C0040115,Thymus Hyperplasia,Disease or Syndrome
C0079218,Fibromatosis; Aggressive,Neoplastic Process
C0010701,Phyllodes Tumor,Neoplastic Process
C0206651,Sarcoma; Clear Cell,Neoplastic Process
C0162679,Leukemic Infiltration,Neoplastic Process
C0018552,Hamartoma,Neoplastic Process
C0042940,Voice Disorders,Disease or Syndrome
C1850808,Miyoshi Myopathy,Disease or Syndrome
C0023351,Tuberculoid Leprosy,Disease or Syndrome
C0162532,Variegate Porphyria,Disease or Syndrome
C0206160,Reticulocytosis,Finding
C0014132,Endocrine Gland Neoplasms,Neoplastic Process
C1260899,Anemia; Diamond-Blackfan,Congenital Abnormality
C0039730,Thalassemia,Disease or Syndrome
C0271583,Acth Deficiency; Isolated,Disease or Syndrome
C0475072,Traumatic Cerebral Hemorrhage,Injury or Poisoning
C0018196,Granuloma; Laryngeal,Disease or Syndrome
C0158266,Intervertebral Disc Degeneration,Disease or Syndrome
C0023075,Laryngostenosis,Anatomical Abnormality
C0162671,Melas Syndrome,Disease or Syndrome
C0152459,Linear Atrophy,Acquired Abnormality
C0034088,Pulmonary Valve Insufficiency,Pathologic Function
C0030975,Perceptual Disorders,Mental or Behavioral Dysfunction
C0036946,Sheep Diseases,Disease or Syndrome
C0012746,Dissociative Disorder,Mental or Behavioral Dysfunction
C1850321,Omphalocele Exstrophy Imperforate Anus,Disease or Syndrome
C1257959,Persistent Hyperinsulinemia Hypoglycemia Of Infancy,Disease or Syndrome
C0017919,Glycogen Storage Disease,Disease or Syndrome
C0020457,Hyperglycemic Hyperosmolar Nonketotic Coma,Disease or Syndrome
C0271714,Hypoglycemia; Leucine-Induced,Disease or Syndrome
C0264303,Laryngomalacia,Congenital Abnormality
C0027773,Nesidioblastosis,Disease or Syndrome
C2931877,Preeclamptic Toxemia,Disease or Syndrome
C0020312,Hydrothorax,Disease or Syndrome
C0025160,Megacolon,Disease or Syndrome
C0032993,Pregnancy; Prolonged,Pathologic Function
C0007350,Cat Diseases,Disease or Syndrome
C0162629,Oxyurida Infections,Disease or Syndrome
C0151638,Fanconi Like Syndrome,Disease or Syndrome
C0221773,Hyperamylasemia,Disease or Syndrome
C0030299,Pancreatic Pseudocyst,Disease or Syndrome
C1285261,Fetal Nutrition Disorders,Disease or Syndrome
C0018051,Gonadal Dysgenesis,Congenital Abnormality
C0023601,Leydig Cell Tumor,Neoplastic Process
C0014848,Esophageal Achalasia,Disease or Syndrome
C0340100,High Altitude Pulmonary Edema,Disease or Syndrome
C0003857,Congenital Arteriovenous Malformation,Congenital Abnormality
C0741296,Ostium Primum Atrial Septal Defect,Congenital Abnormality
C0206623,Adenosquamous Carcinoma,Neoplastic Process
C0010631,Cystadenocarcinoma,Neoplastic Process
C1720887,Female Urogenital Diseases,Disease or Syndrome
C0030584,Parovarian Cyst,Disease or Syndrome
C0037859,Spermatocele,Disease or Syndrome
C0007867,Cervix Diseases,Disease or Syndrome
C0007868,Cervical Dysplasia,Disease or Syndrome
C0227791,Vaginal Discharge,Finding
C0042341,Varicocele,Disease or Syndrome
C0034072,Cor Pulmonale,Disease or Syndrome
C0007930,Chagas Cardiomyopathy,Disease or Syndrome
C0008039,Cheyne-Stokes Respiration,Sign or Symptom
C0013481,Ebstein Anomaly,Congenital Abnormality
C0039234,Tachycardia; Ectopic Atrial,Disease or Syndrome
C0232981,Arrest Of Spermatogenesis,Pathologic Function
C0268542,Ornithine Carbamoyltransferase Deficiency,Disease or Syndrome
C0032915,Pre-Excitation Syndromes,Disease or Syndrome
C0038994,Sweating; Gustatory,Disease or Syndrome
C0206586,Endolymphatic Hydrops,Disease or Syndrome
C0029412,Osteoarthropathy; Secondary Hypertrophic,Disease or Syndrome
C0001349,Acute-Phase Reaction,Pathologic Function
C0024689,Mandibular Diseases,Disease or Syndrome
C0024950,Maxillary Diseases,Disease or Syndrome
C0206368,Exfoliation Syndrome,Disease or Syndrome
C0521607,Peritoneal Fibrosis,Disease or Syndrome
C0015923,Fetal Alcohol Syndrome,Disease or Syndrome
C0029422,Osteochondrodysplasias,Congenital Abnormality
C0003509,Aortitis,Disease or Syndrome
C0027339,Nail Diseases,Disease or Syndrome
C2931434,Paraquat Lung,Disease or Syndrome
C0264162,Camptocormia,Acquired Abnormality
C0014117,Endocardial Fibroelastosis,Disease or Syndrome
C0014850,Esophageal Atresia,Congenital Abnormality
C1850900,Familial Primary Gastric Lymphoma,Neoplastic Process
C1857828,Qt Interval; Variation In,Disease or Syndrome
C1735591,Vacterl Association,Congenital Abnormality
C0033999,Pterygium,Disease or Syndrome
C3203360,Suppuration,Pathologic Function
C0022904,Lacrimal Apparatus Diseases,Disease or Syndrome
C0023891,Liver Cirrhosis; Alcoholic,Disease or Syndrome
C2930894,Galactorrhea-Hyperprolactinemia,Disease or Syndrome
C0001733,Afibrinogenemia,Disease or Syndrome
C0000821,Threatened Abortion,Disease or Syndrome
C1857728,Hereditary Angioedema Type Iii,Disease or Syndrome
C0238461,Anaplastic Thyroid Carcinoma,Neoplastic Process
C0027666,Neoplasms; Radiation-Induced,Neoplastic Process
C0206696,Carcinoma; Signet Ring Cell,Neoplastic Process
C0020305,Hydrops Fetalis,Disease or Syndrome
C0149649,Cholesterol Embolism,Disease or Syndrome
C1827301,Extensively Drug-Resistant Tuberculosis,Disease or Syndrome
C0038012,Spondylitis,Disease or Syndrome
C0268318,Cholestasis Of Pregnancy,Disease or Syndrome
C0030232,Pallor,Sign or Symptom
C0042420,Vasovagal Syncope,Disease or Syndrome
C0030849,Penile Neoplasms,Neoplastic Process
C0042755,Virilism,Sign or Symptom
C0264080,Juvenile Osteoporosis,Disease or Syndrome
C0023370,Leriche Syndrome,Disease or Syndrome
C0014714,Ergotism,Injury or Poisoning
C0948355,Myocardial Bridging,Disease or Syndrome
C0040185,Tibial Fractures,Injury or Poisoning
C0022572,Keratoacanthoma,Neoplastic Process
C0079588,Ichthyosis; X-Linked,Disease or Syndrome
C0042140,Uterine Prolapse,Acquired Abnormality
C0338508,Optic Atrophy; Autosomal Dominant,Disease or Syndrome
C0917796,Optic Atrophy; Hereditary; Leber,Disease or Syndrome
C0275904,Tuberculosis; Central Nervous System,Disease or Syndrome
C0041316,Lymph Node Tuberculosis,Disease or Syndrome
C0041321,Tuberculosis; Miliary,Disease or Syndrome
C0041324,Tuberculosis; Osteoarticular,Disease or Syndrome
C0041326,Pleural Tuberculosis,Disease or Syndrome
C0003516,Aortopulmonary Septal Defect,Congenital Abnormality
C1857586,Conotruncal Heart Malformations (Disorder),Disease or Syndrome
C0242891,Tooth Injuries,Injury or Poisoning
C1842778,Atrial Septal Defect 2,Disease or Syndrome
C0013575,Ectodermal Dysplasia,Congenital Abnormality
C0026470,Monoclonal Gammopathy Of Undetermined Significance,Neoplastic Process
C0574960,Sacroiliitis,Disease or Syndrome
C0036631,Seminoma,Neoplastic Process
C0002382,Alveolar Bone Loss,Disease or Syndrome
C0399352,Developmental Absence Of Tooth,Congenital Abnormality
C0524948,Maxillofacial Abnormalities,Congenital Abnormality
C0041341,Tuberous Sclerosis,Neoplastic Process
C0342907,Sitosterolemia,Pathologic Function
C0001442,Adenosarcoma,Neoplastic Process
C0026683,Mucocele,Anatomical Abnormality
C0030215,Palatal Neoplasms,Neoplastic Process
C0270857,Epilepsy; Reflex,Disease or Syndrome
C0162626,Ascaridida Infections,Disease or Syndrome
C0206708,Cervical Intraepithelial Neoplasia,Neoplastic Process
C0027877,Neuronal Ceroid-Lipofuscinoses,Disease or Syndrome
C0238156,Hematoma; Subdural; Intracranial,Injury or Poisoning
C0032807,Postphlebitic Syndrome,Disease or Syndrome
C0302497,Retrobulbar Hemorrhage,Pathologic Function
C0038000,Splenic Rupture,Injury or Poisoning
C0154743,Ulnar Neuropathies,Disease or Syndrome
C0005689,Bladder Exstrophy,Congenital Abnormality
C0037932,Curvature Of Spine,Anatomical Abnormality
C0037073,Sigmoid Neoplasms,Neoplastic Process
C2350233,Antley-Bixler Syndrome Phenotype,Disease or Syndrome
C0152132,Hypertensive Retinopathy,Disease or Syndrome
C0037019,Shy-Drager Syndrome,Disease or Syndrome
C0037384,Snoring,Sign or Symptom
C0002982,Angioid Streaks,Disease or Syndrome
C0026618,Dental Fluorosis; Acquired,Disease or Syndrome
C3203359,Rupture,Injury or Poisoning
C0175166,Skin And Connective Tissue Diseases,Disease or Syndrome
C2004491,Cicatrix,Pathologic Function
C0013291,Duodenal Neoplasms,Neoplastic Process
C0013592,Ectropion,Anatomical Abnormality
C0028866,Oculomotor Nerve Paralysis,Disease or Syndrome
C0030472,Paraneoplastic Syndromes,Neoplastic Process
C0030581,Parotid Neoplasms,Neoplastic Process
C0748540,Scleroderma; Limited,Disease or Syndrome
C0011993,Vipoma,Neoplastic Process
C0751882,Myasthenic Syndromes; Congenital,Disease or Syndrome
C0236642,Pick Disease Of The Brain,Disease or Syndrome
C0020604,Hypochondriasis,Mental or Behavioral Dysfunction
C0242788,Breast Neoplasms; Male,Neoplastic Process
C0018500,Hair Diseases,Disease or Syndrome
C1306571,Hepatic Insufficiency,Pathologic Function
C0452122,Toxic Effect Of Formaldehyde,Injury or Poisoning
C0043020,Wallerian Degeneration,Cell or Molecular Dysfunction
C1955629,Human Herpesvirus 6 Encephalitis,Disease or Syndrome
C0032578,Polyploidy,Cell or Molecular Dysfunction
C1313921,Urinoma,Finding
C1862939,Amyotrophic Lateral Sclerosis 1,Disease or Syndrome
C0031315,Phantom Limb Syndrome,Disease or Syndrome
C0087012,Ataxia; Spinocerebellar,Disease or Syndrome
C0702136,Trochlear Nerve Diseases,Disease or Syndrome
C0039726,Thalamic Diseases,Disease or Syndrome
C0016952,Galactosemias,Disease or Syndrome
C2931788,Atypical Hemolytic Uremic Syndrome,Disease or Syndrome
C0206660,Germinoma,Neoplastic Process
C0206172,Diabetic Foot,Disease or Syndrome
C0026851,Muscular Dystrophy; Animal,Disease or Syndrome
C0085073,Prosthesis-Related Infection,Pathologic Function
C0023801,Lipomatosis,Disease or Syndrome
C0022680,Polycystic Kidney Diseases,Anatomical Abnormality
C0036396,Sciatica,Sign or Symptom
C1175175,Severe Acute Respiratory Syndrome,Disease or Syndrome
C0007093,Carcinoid Heart Disease,Disease or Syndrome
C0162568,Erythropoietic Protoporphyria,Disease or Syndrome
C0035828,Romano-Ward Syndrome,Disease or Syndrome
C0013423,Dystonia Musculorum Deformans,Disease or Syndrome
C0036347,Schizophrenia; Disorganized,Mental or Behavioral Dysfunction
C0752287,Sleep Disorders; Intrinsic,Disease or Syndrome
C2931263,Familial Cerebral Cavernous Malformation,Disease or Syndrome
C0020595,Hypoaldosteronism,Disease or Syndrome
C0026269,Mitral Valve Stenosis,Disease or Syndrome
C0475073,Subarachnoid Hemorrhage; Traumatic,Injury or Poisoning
C0042998,Vulvovaginitis,Disease or Syndrome
C1136033,Cutaneous Mastocytosis,Disease or Syndrome
C1168250,Laryngopharyngeal Reflux,Disease or Syndrome
C0751748,Nonketotic Hyperglycinemia,Disease or Syndrome
C2673535,Dystonia; Dopa-Responsive; With Or Without Hyperphenylalaninemia; Autosomal Recessive (Disorder),Disease or Syndrome
C0878681,Dent'S Disease,Disease or Syndrome
C2936861,Cortisol 11-Beta-Ketoreductase Deficiency,Disease or Syndrome
C0015395,Eye Burns,Injury or Poisoning
C0026272,Mixed Connective Tissue Disease,Disease or Syndrome
C0016142,Firesetting Behavior,Mental or Behavioral Dysfunction
C0263859,Acquired Hyperostosis Syndrome,Disease or Syndrome
C0349489,Fetal Hypoxia,Disease or Syndrome
C0029410,Osteoarthritis Of Hip,Disease or Syndrome
C0001816,Agnosia,Mental or Behavioral Dysfunction
C0334492,Malignant Mesenchymal Tumor,Neoplastic Process
C0162848,Lichenoid Eruptions,Disease or Syndrome
C0085389,Bacillaceae Infections,Disease or Syndrome
C0036363,Schizotypal Personality Disorder,Mental or Behavioral Dysfunction
C0085653,Pyogenic Granuloma,Disease or Syndrome
C0078911,Aids-Associated Nephropathy,Disease or Syndrome
C0024215,Lymphangiectasis; Intestinal,Disease or Syndrome
C0007527,Cecal Diseases,Disease or Syndrome
C0553730,Calcium Pyrophosphate Deposition Disease,Disease or Syndrome
C0206750,Coronavirus Infections,Disease or Syndrome
C0020224,Polyhydramnios,Pathologic Function
C0033805,Pseudohypoaldosteronism,Disease or Syndrome
C0036205,Sarcoidosis; Pulmonary,Disease or Syndrome
C0041972,Urethral Obstruction,Disease or Syndrome
C0004135,Ataxia Telangiectasia,Congenital Abnormality
C0012715,Iron Metabolism Disorders,Disease or Syndrome
C0030508,Parasomnia,Disease or Syndrome
C0033839,Pseudorabies,Disease or Syndrome
C0020532,Hypersplenism,Disease or Syndrome
C1609538,Latent Tuberculosis,Disease or Syndrome
C0041312,Tuberculosis; Gastrointestinal,Disease or Syndrome
C2930972,Accutane Embryopathy,Disease or Syndrome
C0702139,Congenital Absence Of External Ear,Congenital Abnormality
C0010038,Corneal Opacity,Finding
C0432364,Isotretinoin Embryopathy Like Syndrome,Congenital Abnormality
C0206085,Kleine-Levin Syndrome,Disease or Syndrome
C0024433,Macrostomia,Congenital Abnormality
C0026034,Microstomia,Congenital Abnormality
C0263390,Scleromyxedema,Disease or Syndrome
C0004031,Aspergillosis; Allergic Bronchopulmonary,Disease or Syndrome
C0026431,Monkey Diseases,Disease or Syndrome
C0023533,Leukorrhea,Sign or Symptom
C0751891,Intracranial Hemorrhage; Hypertensive,Pathologic Function
C0026706,Mucopolysaccharidosis Iii,Congenital Abnormality
C1262087,Sunct Syndrome,Disease or Syndrome
C0019123,Hemothorax,Pathologic Function
C0038238,Steatorrhea,Disease or Syndrome
C1846421,Lathosterolosis,Disease or Syndrome
C0314657,Genetic Predisposition To Disease,Organism Attribute
C0751859,Lead Poisoning; Nervous System,Injury or Poisoning
C0162666,Mitochondrial Encephalomyopathies,Disease or Syndrome
C0043459,Zellweger Syndrome,Congenital Abnormality
C0027086,Myoma,Neoplastic Process
C0030764,Pedophilia,Mental or Behavioral Dysfunction
C1851920,Dystonia; Dopa-Responsive,Disease or Syndrome
C2931845,Neurodegeneration With Brain Iron Accumulation (Nbia),Disease or Syndrome
C0751774,Nocturnal Myoclonus Syndrome,Disease or Syndrome
C0242670,Persistent Vegetative State,Disease or Syndrome
C0040774,Transvestism,Mental or Behavioral Dysfunction
C0001529,Adiposis Dolorosa,Disease or Syndrome
C0161408,Facial Nerve Injuries,Injury or Poisoning
C0037221,Situs Inversus,Congenital Abnormality
C0008495,Chorioamnionitis,Pathologic Function
C0031028,Periapical Diseases,Disease or Syndrome
C0021070,Immunoproliferative Disorders,Neoplastic Process
C0030521,Parathyroid Neoplasms,Neoplastic Process
C0085159,Seasonal Affective Disorder,Mental or Behavioral Dysfunction
C0003113,Anomia,Mental or Behavioral Dysfunction
C0009081,Congenital Clubfoot,Congenital Abnormality
C0406458,Diffuse Alopecia,Disease or Syndrome
C0015773,Felty Syndrome,Disease or Syndrome
C2931853,Speech Disturbance - Use Of Faulty Phrasing And Unrelated Words,Disease or Syndrome
C0015414,Eye Neoplasms,Neoplastic Process
C0009376,Colonic Polyps,Anatomical Abnormality
C0040416,Tonic Pupil,Sign or Symptom
C0023827,Liposarcoma,Neoplastic Process
C0031085,Periodontal Abscess,Disease or Syndrome
C2936349,Plaque; Amyloid,Acquired Abnormality
C0162625,Secernentea Infections,Disease or Syndrome
C0037753,Sparganosis,Disease or Syndrome
C0039254,Teniasis,Disease or Syndrome
C0014588,Epispadias,Congenital Abnormality
C0271527,Cryptogenic Sexual Precocity,Disease or Syndrome
C0751674,Lymphangioleiomyomatosis,Neoplastic Process
C0162853,Pityriasis Lichenoides,Disease or Syndrome
C1860212,Achalasia Microcephaly,Disease or Syndrome
C0149520,Cholecystitis; Acute,Disease or Syndrome
C0034215,Pyometra,Disease or Syndrome
C0024236,Lymphedema,Disease or Syndrome
C1334815,Multi-Centric Castleman'S Disease,Neoplastic Process
C0029464,Osteosclerosis,Disease or Syndrome
C0268381,Primary Amyloidosis,Disease or Syndrome
C0152276,Granulocytic Sarcoma,Neoplastic Process
C0342856,Coproporphyria,Disease or Syndrome
C0242647,Mucosa-Associated Lymphoid Tissue Lymphoma,Neoplastic Process
C0206663,Neuroectodermal Tumor; Primitive,Neoplastic Process
C0020455,Hypergammaglobulinemia,Disease or Syndrome
C0001198,Acrodynia,Injury or Poisoning
C0948031,Primary Graft Dysfunction,Pathologic Function
C0085209,Encephalopathy; Bovine Spongiform,Disease or Syndrome
C0268425,Alstrom Syndrome,Congenital Abnormality
C0600452,Hepatopulmonary Syndrome,Disease or Syndrome
C1720922,Respiratory Aspiration,Pathologic Function
C0037944,Spinal Stenosis,Disease or Syndrome
C0030332,Panophthalmitis,Disease or Syndrome
C0036916,Sexually Transmitted Diseases,Disease or Syndrome
C1866558,Neural Tube Defect; Folate-Sensitive,Disease or Syndrome
C0549143,Pulmonary Renal Syndrome,Disease or Syndrome
C0080174,Spina Bifida Occulta,Congenital Abnormality
C0001825,Agraphia,Mental or Behavioral Dysfunction
C0751840,Alexia; Pure,Mental or Behavioral Dysfunction
C0234523,Apraxia; Ideomotor,Mental or Behavioral Dysfunction
C0085435,Arthritis; Reactive,Disease or Syndrome
C0008479,Chondrosarcoma,Neoplastic Process
C0206138,Crest Syndrome,Disease or Syndrome
C0206734,Hemangioblastoma,Neoplastic Process
C0020620,Hypohidrosis,Disease or Syndrome
C0345905,Intrahepatic Cholangiocarcinoma,Neoplastic Process
C0270707,Kluver-Bucy Syndrome,Mental or Behavioral Dysfunction
C0079746,Immunoblastic Large-Cell Lymphoma,Neoplastic Process
C0030470,Paranasal Sinus Neoplasms,Neoplastic Process
C0949691,Spondylarthropathies,Disease or Syndrome
C0039981,Thoracic Neoplasms,Neoplastic Process
C2748895,Ovotesticular Disorders Of Sex Development,Congenital Abnormality
C0017417,Genital Neoplasms; Male,Neoplastic Process
C0009946,Conversion Disorder,Mental or Behavioral Dysfunction
C0013528,Echolalia,Mental or Behavioral Dysfunction
C0037650,Somatoform Disorder,Mental or Behavioral Dysfunction
C0007762,Cerebellar Neoplasms,Neoplastic Process
C0085270,Orbital Pseudotumor,Disease or Syndrome
C0030343,Panuveitis,Disease or Syndrome
C0008521,Choroid Diseases,Disease or Syndrome
C1704202,Aspermia,Finding
C0020450,Hyperemesis Gravidarum,Sign or Symptom
C0002992,Angiomatosis,Disease or Syndrome
C0012691,Dislocations,Injury or Poisoning
C0282631,Facies,Organism Attribute
C0155552,Hearing Loss; Mixed Conductive-Sensorineural,Disease or Syndrome
C0206068,Parasystole,Pathologic Function
C0014324,Entamoebiasis,Disease or Syndrome
C0015668,Fat Necrosis,Pathologic Function
C0406305,Eosinophilic Pustular Folliculitis,Disease or Syndrome
C0162836,Hidradenitis Suppurativa,Disease or Syndrome
C0085395,Ureaplasma Infections,Disease or Syndrome
C0032533,Polymyalgia Rheumatica,Disease or Syndrome
